Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959ac3358fafb2297a62052 - minikube-m04
4227.384189137798	4	4	4	3
4237.594223407594	3	2	2	2
4247.744257475998	3	3	2	2
4247.974258247997	3	3	2	2
4258.204292584923	2	2	2	2
4268.434326921848	3	2	2	2
4278.654361225209	3	2	2	2
4288.854395461439	3	2	2	2
4298.994429496279	3	3	2	2
4299.234430301843	2	2	2	1
4309.464464638768	3	3	3	2
4319.694498975694	2	2	2	1
4329.914533279054	4	4	3	3
4340.14456761598	3	2	2	2
4350.344601852211	3	3	3	3
4350.574602624209	3	3	3	3
4360.734636726179	3	3	2	2
4370.874670761019	2	2	2	1
4381.004704762293	2	2	2	2
4391.174738897827	3	2	2	2
4401.344773033363	3	3	3	2
4401.584773838926	3	2	2	2
4411.764808008026	3	3	3	2
4421.994842344952	3	2	2	2
4432.154876446922	3	3	3	3
4442.354910683152	3	3	3	2
4452.534944852252	2	1	1	1
4452.764945624251	2	1	1	1
4462.974979894047	3	3	3	3
4473.105013895321	3	3	2	2
4483.225047863029	3	3	2	2
4493.44508216639	3	3	3	2
4503.64511640262	2	2	1	1
4503.875117174619	2	2	1	1
4514.065151377285	2	2	2	1
4524.265185613515	4	3	3	3
4534.485219916875	3	3	3	3
4544.67525411954	3	3	2	2
4554.8452882550755	1	1	1	1
4555.075289027074	1	1	1	1
4565.205323028348	2	1	1	1
4575.295356895363	2	1	1	1
4585.515391198723	4	3	3	3
4595.705425401388	3	3	2	2
4605.915459671183	3	2	2	2
4606.155460476747	2	2	2	2
4616.375494780108	3	3	2	2
4626.5455289156425	2	2	1	1
4636.7655632190035	2	2	2	2
4646.945597388103	2	2	1	1
4657.1156315236385	1	1	1	1
4657.345632295636	1	1	1	1
4667.575666632562	3	2	2	2
4677.745700768098	3	3	2	2
4687.915734903632	3	3	2	2
4698.135769206993	3	3	3	3
4708.355803510353	3	3	3	2
4708.595804315918	3	2	2	2
4718.825838652843	3	3	3	2
4729.005872821943	3	2	2	2
4739.105906722522	2	2	2	2
4749.315940992318	3	3	2	2
4759.505975194983	4	3	3	3
4759.745976000547	3	3	3	2
4769.926010169646	4	4	3	3
4780.086044271617	3	3	3	2
4790.256078407152	4	4	3	3
4800.396112441991	3	3	3	2
4810.616146745352	4	3	3	3
4810.856147550915	3	3	3	2
4821.0361817200155	3	3	2	2
4831.286216124072	3	3	2	2
4841.476250326737	2	2	2	2
4851.6862845965325	3	3	3	3
4861.866318765632	2	2	2	2
4862.106319571196	2	2	1	1
4872.276353706731	2	2	1	1
4882.526388110787	3	3	2	2
4892.756422447713	3	3	3	2
4902.956456683943	3	2	2	2
4913.196491054434	4	3	3	3
4913.436491859998	3	3	3	3
4923.616526029097	3	3	3	2
4933.796560198198	2	2	2	1
4944.036594568689	4	3	3	3
4954.226628771354	3	3	3	2
4964.43666304115	3	2	2	2
4964.676663846713	2	2	1	1
4974.846697982248	3	2	2	2
4985.026732151348	2	2	1	1
4995.176766219753	2	2	2	2
