Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695a8f635c413a6b8f8b1cab - minikube-m04
10409.9850224663	2	2	2	2
10424.363454817774	2	2	2	2
10438.741887169246	2	2	2	1
10453.12031952072	3	2	2	2
10467.498751872192	3	3	3	3
10481.877184223666	3	3	2	2
10496.255616575138	3	3	2	2
10510.63404892661	3	3	3	2
10525.012481278083	3	2	2	2
10539.390913629555	3	3	2	2
10553.769345981029	3	3	2	2
10568.1477783325	3	3	3	2
10582.526210683975	2	2	2	2
10596.904643035446	3	3	2	2
10611.28307538692	2	2	2	2
10625.661507738392	3	3	3	2
10640.039940089866	3	3	2	2
10654.418372441338	2	2	2	1
10668.796804792812	3	2	2	2
10683.175237144284	4	3	3	3
10697.553669495755	3	3	3	3
10711.93210184723	4	4	3	3
10726.310534198701	3	3	2	2
10740.688966550175	3	3	3	2
10755.067398901647	4	4	4	4
10769.44583125312	3	2	2	2
10783.824263604592	2	2	2	2
10798.202695956066	3	3	2	2
10812.581128307538	2	2	2	1
10826.95956065901	3	2	2	2
10841.337993010484	2	2	2	1
10855.716425361956	2	2	2	2
10870.09485771343	2	2	2	2
10884.473290064901	3	2	2	2
10898.851722416375	3	3	3	2
10913.230154767849	4	3	3	3
10927.60858711932	2	2	2	2
10941.987019470795	2	2	1	1
10956.365451822267	2	1	1	1
10970.74388417374	3	2	2	2
10985.122316525212	3	3	2	2
10999.500748876686	2	2	2	1
11013.879181228158	3	3	3	3
11028.257613579632	3	3	2	2
11042.636045931104	3	3	2	2
11057.014478282577	3	3	2	2
11071.39291063405	3	3	2	2
11085.771342985523	3	2	2	2
11100.149775336993	3	3	3	2
11114.528207688467	3	2	2	2
11128.906640039939	2	2	2	1
11143.285072391413	3	3	2	2
11157.663504742884	3	3	3	2
11172.041937094358	3	3	3	2
11186.42036944583	2	2	2	1
11200.798801797304	3	2	2	2
11215.177234148776	3	2	2	2
11229.55566650025	3	3	3	2
11243.934098851722	3	2	2	2
11258.312531203195	3	3	2	2
11272.690963554667	2	2	2	2
11287.069395906141	3	2	2	2
11301.447828257615	2	2	2	2
11315.826260609087	2	2	2	2
11330.20469296056	2	2	2	2
11344.583125312032	3	3	3	2
11358.961557663506	4	4	3	3
11373.339990014978	3	3	2	2
11387.718422366452	3	2	2	2
11402.096854717924	2	2	2	2
11416.475287069397	3	3	2	2
11430.85371942087	2	2	2	2
11445.23215177234	3	2	2	2
11459.610584123813	3	3	3	3
11473.989016475287	3	3	3	3
11488.367448826759	3	3	3	3
11502.745881178233	3	3	3	3
11517.124313529705	3	3	3	3
11531.502745881178	2	1	1	1
11545.88117823265	3	2	2	2
11560.259610584124	2	2	2	2
11574.638042935596	3	2	2	2
11589.01647528707	3	3	2	2
11603.394907638542	3	3	3	2
11617.773339990015	3	2	2	2
11632.151772341487	2	2	2	2
11646.530204692961	2	2	2	1
11660.908637044433	3	3	3	2
11675.287069395907	3	3	3	2
11689.665501747379	3	3	3	2
11704.043934098852	4	3	3	3
11718.422366450326	3	3	3	2
11732.800798801798	2	2	2	2
11747.179231153272	3	2	2	2
