Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695927bece5f2ed21d522d82 - minikube-m04
7752.167323431343	3	3	2	2
7765.262200666869	2	2	2	1
7778.357077902395	1	1	1	1
7791.451955137921	2	2	2	1
7804.546832373446	2	2	2	1
7817.641709608973	2	2	2	2
7830.736586844498	2	2	2	1
7843.8314640800245	1	1	1	1
7856.9263413155495	1	1	1	1
7870.021218551076	2	2	2	2
7883.116095786601	3	3	3	3
7896.210973022128	3	3	3	2
7909.305850257654	2	2	2	2
7922.40072749318	2	2	2	2
7935.495604728706	2	1	1	1
7948.590481964231	2	2	2	2
7961.685359199758	3	3	2	2
7974.780236435283	3	3	2	2
7987.87511367081	3	3	3	2
8000.969990906335	3	3	2	2
8014.064868141862	2	2	2	1
8027.159745377387	3	3	3	3
8040.254622612913	2	2	2	1
8053.349499848438	4	3	3	3
8066.444377083965	3	2	2	2
8079.539254319491	2	2	2	1
8092.634131555016	1	1	1	1
8105.729008790543	3	3	3	2
8118.823886026068	3	2	2	2
8131.918763261595	3	3	3	2
8145.01364049712	2	2	2	2
8158.108517732647	2	2	2	2
8171.203394968172	2	1	1	1
8184.298272203699	1	1	1	1
8197.393149439224	2	2	2	1
8210.48802667475	2	2	2	1
8223.582903910275	3	2	2	2
8236.677781145801	3	3	3	2
8249.772658381327	3	2	2	2
8262.867535616853	3	2	2	2
8275.96241285238	3	2	2	2
8289.057290087905	3	2	2	2
8302.152167323431	3	3	2	2
8315.247044558957	2	2	2	2
8328.341921794483	2	2	1	1
8341.436799030009	2	2	2	2
8354.531676265535	3	2	2	2
8367.62655350106	3	3	3	2
8380.721430736587	2	2	2	1
8393.816307972113	3	3	3	2
8406.911185207638	2	2	2	2
8420.006062443164	2	2	2	1
8433.10093967869	2	2	2	1
8446.195816914216	2	2	2	2
8459.290694149742	3	3	3	3
8472.385571385268	3	3	2	2
8485.480448620794	3	2	2	2
8498.57532585632	3	2	2	2
8511.670203091846	3	2	2	2
8524.765080327372	3	3	2	2
8537.859957562898	2	2	1	1
8550.954834798424	2	2	2	1
8564.04971203395	2	1	1	1
8577.144589269476	2	2	2	2
8590.239466505001	3	2	2	2
8603.334343740527	2	2	2	1
8616.429220976053	2	2	2	1
8629.52409821158	3	2	2	2
8642.618975447105	2	2	2	1
8655.713852682631	3	2	2	2
8668.808729918157	4	4	4	3
8681.903607153683	4	3	3	3
8694.998484389209	4	3	3	3
8708.093361624735	3	3	3	3
8721.18823886026	3	3	2	2
8734.283116095787	3	3	2	2
8747.377993331313	3	2	2	2
8760.472870566839	3	2	2	2
8773.567747802364	4	4	3	3
8786.66262503789	3	3	3	3
8799.757502273416	3	3	2	2
8812.852379508942	2	2	2	1
8825.947256744468	2	2	2	2
8839.042133979994	2	2	2	1
8852.13701121552	3	3	2	2
8865.231888451046	3	2	2	2
8878.326765686572	2	2	1	1
8891.421642922098	3	2	2	2
8904.516520157624	3	3	3	2
8917.61139739315	3	2	2	2
8930.706274628676	3	3	2	2
8943.801151864202	3	2	2	2
8956.896029099727	2	2	2	2
8969.990906335253	4	3	3	3
8983.08578357078	3	3	3	3
8996.180660806305	3	3	3	2
9009.275538041831	3	3	3	2
9022.370415277357	3	2	2	2
9035.465292512883	2	2	2	2
9048.560169748409	3	3	3	2
9061.655046983935	3	3	2	2
9074.749924219459	3	2	2	2
9087.844801454987	3	3	2	2
9100.939678690513	3	3	2	2
9114.034555926039	2	2	2	1
9127.129433161565	3	3	3	2
9140.22431039709	3	3	2	2
9153.319187632616	3	3	2	2
9166.414064868142	2	2	1	1
9179.508942103668	3	3	3	3
9192.603819339194	3	2	2	2
9205.69869657472	2	2	2	2
9218.793573810244	3	2	2	2
9231.888451045772	2	2	2	2
9244.983328281296	3	3	3	2
9258.078205516824	4	4	3	3
9271.17308275235	3	3	3	2
9284.267959987876	2	2	2	2
9297.362837223402	2	2	2	1
9310.457714458928	2	2	2	2
9323.552591694453	2	2	2	2
9336.647468929978	2	2	2	2
9349.742346165505	2	2	2	2
9362.83722340103	3	3	3	2
9375.932100636557	3	3	3	3
9389.026977872081	3	3	3	3
9402.121855107609	2	2	2	2
9415.216732343135	2	2	2	1
9428.31160957866	2	2	1	1
9441.406486814187	2	2	2	2
9454.501364049713	3	3	3	3
9467.596241285239	2	2	2	1
9480.691118520763	3	3	2	2
9493.78599575629	4	4	3	3
9506.880872991815	3	3	3	3
9519.975750227342	3	3	3	3
9533.070627462866	2	2	2	1
9546.165504698394	2	2	1	1
9559.260381933918	2	2	2	1
9572.355259169446	2	2	2	1
9585.450136404972	1	1	1	1
9598.545013640498	2	2	2	1
9611.639890876024	2	2	2	2
9624.734768111548	3	3	3	3
9637.829645347076	3	2	2	2
9650.9245225826	3	3	2	2
9664.019399818128	3	2	2	2
9677.114277053652	3	2	2	2
9690.20915428918	3	2	2	2
9703.304031524704	2	1	1	1
9716.398908760231	2	2	2	2
9729.493785995755	2	2	2	1
9742.588663231283	2	1	1	1
9755.683540466809	2	2	2	2
9768.778417702333	3	2	2	2
9781.873294937861	2	2	2	1
9794.968172173385	2	2	2	2
9808.063049408913	4	3	3	3
9821.157926644437	3	3	2	2
9834.252803879965	3	2	2	2
9847.347681115489	3	3	2	2
9860.442558351016	3	3	3	2
9873.53743558654	3	2	2	2
9886.632312822067	2	1	1	1
9899.727190057592	2	1	1	1
9912.822067293118	2	2	2	1
9925.916944528646	2	2	2	1
9939.01182176417	4	4	3	3
9952.106698999698	2	2	2	2
9965.201576235222	3	2	2	2
9978.29645347075	2	2	1	1
9991.391330706274	3	2	2	2
10004.486207941802	3	2	2	2
10017.581085177326	2	2	2	2
10030.675962412852	3	3	2	2
10043.770839648378	3	2	2	2
10056.865716883904	3	2	2	2
10069.96059411943	2	2	2	2
10083.055471354955	2	2	2	2
10096.150348590483	3	3	2	2
10109.245225826007	2	2	2	1
10122.340103061535	2	2	2	1
10135.43498029706	2	2	1	1
10148.529857532587	2	2	2	2
10161.624734768111	3	3	2	2
10174.719612003637	2	2	2	2
10187.814489239163	3	3	3	2
10200.909366474689	2	2	1	1
10214.004243710215	2	1	1	1
10227.09912094574	2	2	2	2
10240.193998181267	2	2	2	1
