Relative Time (Process)	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m02	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m03	Greedy Latency Heuristic - Run None (Profile ?) 69610ff2343f3358e1a3d387 - minikube-m04
6521.919276104299	4	4	4	4
6532.206215025598	4	4	4	4
6542.493153946898	4	3	3	3
6552.780092868199	4	4	4	4
6563.067031789498	4	4	4	4
6573.353970710798	4	4	4	4
6583.6409096320995	4	4	4	4
6593.927848553399	4	4	4	4
6604.214787474699	4	3	3	3
6614.501726396	4	4	4	4
6624.788665317299	4	4	4	4
6635.075604238599	4	4	4	4
6645.3625431599	4	4	4	4
6655.6494820812	4	4	4	4
6665.9364210025	4	3	3	3
6676.223359923801	4	4	4	4
6686.510298845101	4	4	4	4
6696.797237766401	4	4	4	4
6707.084176687701	4	4	4	4
6717.371115609001	4	4	4	4
6727.658054530301	4	3	3	3
6737.9449934516015	4	4	4	4
6748.231932372902	4	4	4	4
6758.518871294203	4	4	4	4
6768.805810215502	4	4	4	4
6779.092749136802	4	4	4	4
6789.379688058103	4	3	3	3
6799.666626979402	4	4	4	4
6809.953565900702	4	4	4	4
6820.2405048220035	4	4	4	4
6830.527443743303	4	4	4	4
6840.814382664603	4	4	4	4
6851.101321585904	4	3	3	3
6861.388260507203	4	4	4	4
6871.675199428503	4	4	4	4
6881.962138349804	4	4	4	4
6892.2490772711035	4	4	4	4
6902.536016192404	4	4	4	4
6912.822955113705	4	3	3	3
6923.109894035004	4	4	4	4
6933.396832956304	4	4	4	4
6943.683771877605	4	4	4	4
6953.970710798904	4	4	4	4
6964.257649720204	4	4	4	4
6974.5445886415055	4	3	3	3
6984.831527562805	4	4	4	4
6995.118466484105	4	4	4	4
7005.405405405406	4	4	4	4
7015.692344326705	4	4	4	4
7025.979283248005	4	4	4	4
7036.266222169306	4	3	3	3
7046.553161090606	4	4	4	4
7056.840100011906	4	4	4	4
7067.127038933207	4	4	4	4
7077.413977854507	4	4	4	4
7087.700916775806	4	4	4	4
7097.987855697107	4	3	3	3
7108.274794618407	4	4	4	4
7118.561733539706	4	4	4	4
7128.8486724610075	4	4	4	4
7139.135611382308	4	4	4	4
7149.422550303607	4	4	4	4
7159.709489224908	4	3	3	3
7169.996428146208	4	4	4	4
7180.283367067507	4	4	4	4
7190.570305988808	4	4	4	4
7200.857244910108	4	4	4	4
7211.144183831408	4	4	4	4
7221.431122752709	4	3	3	3
7231.718061674009	4	4	4	4
7242.005000595308	4	4	4	4
7252.291939516609	4	4	4	4
7262.578878437909	4	4	4	4
7272.865817359208	4	4	4	4
7283.1527562805095	4	3	3	3
7293.43969520181	4	4	4	4
7303.726634123109	4	4	4	4
7314.01357304441	4	4	4	4
7324.30051196571	4	4	4	4
7334.587450887011	4	4	4	4
7344.87438980831	4	3	3	3
7355.16132872961	4	4	4	4
7365.4482676509115	4	4	4	4
7375.735206572211	4	4	4	4
7386.022145493511	4	4	4	4
7396.309084414812	4	4	4	4
7406.596023336112	4	3	3	3
7416.882962257411	4	4	4	4
7427.169901178712	4	4	4	4
7437.456840100012	4	4	4	4
7447.743779021312	4	4	4	4
7458.030717942613	4	4	4	4
7468.317656863913	4	3	3	3
7478.604595785212	4	4	4	4
7488.891534706513	4	4	4	4
7499.178473627813	4	4	4	4
7509.465412549112	4	4	4	4
7519.7523514704135	4	4	4	4
7530.039290391714	4	3	3	3
7540.326229313013	4	4	4	4
7550.613168234314	4	4	4	4
7560.900107155614	4	4	4	4
7571.187046076913	4	4	4	4
7581.473984998214	4	4	4	4
