Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69613120284eb5e6dc72fbcf - minikube-m04
5744.299597060915	3	3	2	2
5754.538990282057	3	3	2	2
5764.7783835032	3	3	2	2
5775.017776724342	2	2	2	2
5785.257169945485	3	3	2	2
5795.496563166626	3	3	2	2
5805.73595638777	3	3	2	2
5815.975349608912	3	3	2	2
5826.214742830054	3	3	2	2
5836.454136051197	2	2	2	2
5846.693529272339	3	3	2	2
5856.932922493483	3	3	2	2
5867.172315714623	3	3	2	2
5877.411708935767	3	3	2	2
5887.6511021569095	3	3	2	2
5897.890495378052	2	2	2	2
5908.129888599194	3	3	2	2
5918.369281820336	3	3	2	2
5928.60867504148	3	3	2	2
5938.8480682626205	3	3	2	2
5949.087461483764	3	3	2	2
5959.3268547049065	2	2	2	2
5969.566247926049	3	3	2	2
5979.805641147191	3	3	2	2
5990.045034368333	3	3	2	2
6000.284427589477	3	3	2	2
6010.523820810619	3	3	2	2
6020.763214031761	2	2	2	2
6031.0026072529035	3	3	2	2
6041.242000474046	3	3	2	2
6051.481393695188	3	3	2	2
6061.72078691633	3	3	2	2
6071.960180137474	3	3	2	2
6082.199573358616	2	2	2	2
6092.438966579758	3	3	2	2
6102.678359800901	3	3	2	2
6112.917753022043	3	3	2	2
6123.157146243186	3	3	2	2
6133.396539464327	3	3	2	2
6143.635932685471	2	2	2	2
6153.875325906613	3	3	2	2
6164.114719127755	3	3	2	2
6174.354112348898	3	3	2	2
6184.59350557004	3	3	2	2
6194.832898791183	3	3	2	2
6205.072292012324	2	2	2	2
6215.311685233468	3	3	2	2
6225.55107845461	3	3	2	2
6235.790471675753	3	3	2	2
6246.029864896895	3	3	2	2
6256.269258118037	3	3	2	2
6266.50865133918	2	2	2	2
6276.748044560321	3	3	2	2
6286.987437781465	3	3	2	2
6297.2268310026075	3	3	2	2
6307.46622422375	3	3	2	2
6317.705617444892	3	3	2	2
6327.945010666034	2	2	2	2
6338.184403887177	3	3	2	2
6348.42379710832	3	3	2	2
6358.663190329462	3	3	2	2
6368.9025835506045	3	3	2	2
6379.141976771747	3	3	2	2
6389.381369992889	2	2	2	2
6399.620763214031	3	3	2	2
6409.860156435175	3	3	2	2
6420.099549656317	3	3	2	2
6430.338942877459	3	3	2	2
6440.5783360986015	3	3	2	2
6450.817729319744	2	2	2	2
6461.057122540887	3	3	2	2
6471.296515762028	3	3	2	2
6481.535908983172	3	3	2	2
6491.775302204314	3	3	2	2
6502.014695425456	3	3	2	2
6512.254088646599	2	2	2	2
6522.493481867741	3	3	2	2
6532.732875088884	3	3	2	2
6542.972268310025	3	3	2	2
6553.211661531169	3	3	2	2
6563.451054752311	3	3	2	2
6573.690447973454	2	2	2	2
6583.929841194596	3	3	2	2
6594.169234415738	3	3	2	2
6604.408627636881	3	3	2	2
6614.648020858022	3	3	2	2
6624.887414079166	3	3	2	2
6635.126807300308	2	2	2	2
6645.366200521451	3	3	2	2
6655.605593742593	3	3	2	2
6665.844986963735	3	3	2	2
6676.084380184878	3	3	2	2
6686.323773406021	3	3	2	2
6696.563166627163	2	2	2	2
6706.8025598483055	3	3	2	2
6717.041953069448	3	3	2	2
6727.28134629059	3	3	2	2
6737.520739511732	3	3	2	2
6747.760132732875	3	3	2	2
6757.999525954018	2	2	2	2
6768.23891917516	3	3	2	2
6778.4783123963025	3	3	2	2
6788.717705617445	3	3	2	2
6798.957098838588	3	3	2	2
6809.196492059729	3	3	2	2
6819.435885280872	2	2	2	2
6829.675278502015	3	3	2	2
6839.914671723157	3	3	2	2
6850.1540649442995	3	3	2	2
6860.393458165442	3	3	2	2
6870.632851386585	3	3	2	2
6880.872244607726	2	2	2	2
6891.111637828869	3	3	2	2
6901.351031050012	3	3	2	2
6911.590424271155	3	3	2	2
6921.829817492297	3	3	2	2
6932.069210713439	3	3	2	2
6942.308603934582	2	2	2	2
6952.547997155723	3	3	2	2
6962.787390376866	3	3	2	2
6973.026783598009	3	3	2	2
6983.266176819152	3	3	2	2
6993.505570040294	3	3	2	2
7003.744963261436	2	2	2	2
7013.984356482579	3	3	2	2
7024.223749703722	3	3	2	2
7034.463142924864	3	3	2	2
7044.702536146006	3	3	2	2
7054.941929367149	3	3	2	2
7065.181322588291	2	2	2	2
7075.420715809433	3	3	2	2
7085.660109030576	3	3	2	2
7095.899502251719	3	3	2	2
7106.138895472861	3	3	2	2
7116.3782886940035	3	3	2	2
