Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6959243f2504a606259c88de - minikube-m04
7642.876132930513	2	2	2	2
7653.317220543807	3	3	2	2
7663.758308157099	3	3	2	2
7674.1993957703935	3	3	2	2
7684.640483383686	3	3	2	2
7695.081570996978	3	3	2	2
7705.522658610273	2	2	2	2
7715.963746223565	3	3	2	2
7726.4048338368575	3	3	2	2
7736.845921450152	3	3	2	2
7747.287009063444	3	3	2	2
7757.728096676737	3	3	2	2
7768.169184290031	2	2	2	2
7778.610271903323	3	3	2	2
7789.051359516616	3	3	2	2
7799.492447129909	3	3	2	2
7809.9335347432025	3	3	2	2
7820.374622356496	3	3	2	2
7830.815709969788	2	2	2	2
7841.256797583082	3	3	2	2
7851.697885196375	3	3	2	2
7862.138972809667	3	3	2	2
7872.580060422961	3	3	2	2
7883.021148036254	3	3	2	2
7893.4622356495465	2	2	2	2
7903.903323262841	3	3	2	2
7914.344410876133	3	3	2	2
7924.785498489426	3	3	2	2
7935.22658610272	3	3	2	2
7945.667673716012	3	3	2	2
7956.108761329305	2	2	2	2
7966.549848942597	3	3	2	2
7976.9909365558915	3	3	2	2
7987.432024169184	3	3	2	2
7997.873111782477	3	3	2	2
8008.314199395771	3	3	2	2
8018.755287009063	2	2	2	2
8029.196374622356	3	3	2	2
8039.63746223565	3	3	2	2
8050.078549848943	3	3	2	2
8060.519637462236	3	3	2	2
8070.960725075529	3	3	2	2
8081.401812688822	2	2	2	2
8091.842900302115	3	3	2	2
8102.283987915408	3	3	2	2
8112.725075528701	3	3	2	2
8123.166163141994	3	3	2	2
8133.607250755286	3	3	2	2
8144.0483383685805	2	2	2	2
8154.489425981873	3	3	2	2
8164.930513595165	3	3	2	2
8175.37160120846	3	3	2	2
8185.812688821752	3	3	2	2
8196.253776435045	3	3	2	2
8206.694864048339	2	2	2	2
8217.135951661632	3	3	2	2
8227.577039274924	3	3	2	2
8238.018126888219	3	3	2	2
8248.45921450151	3	3	2	2
8258.900302114804	3	3	2	2
8269.341389728097	2	2	2	2
8279.78247734139	3	3	2	2
8290.223564954682	3	3	2	2
8300.664652567975	3	3	2	2
8311.105740181269	3	3	2	2
8321.546827794562	3	3	2	2
8331.987915407855	2	2	2	2
8342.429003021149	3	3	2	2
8352.87009063444	3	3	2	2
8363.311178247734	3	3	2	2
8373.752265861027	3	3	2	2
8384.19335347432	3	3	2	2
8394.634441087614	2	2	2	2
8405.075528700907	3	3	2	2
8415.5166163142	3	3	2	2
8425.957703927492	3	3	2	2
8436.398791540787	3	3	2	2
8446.839879154079	3	3	2	2
8457.280966767372	2	2	2	2
8467.722054380663	3	3	2	2
8478.163141993959	3	3	2	2
8488.60422960725	3	3	2	2
8499.045317220543	3	3	2	2
8509.486404833837	3	3	2	2
8519.92749244713	2	2	2	2
8530.368580060423	3	3	2	2
8540.809667673717	3	3	2	2
