Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 69673bd752742e81ad8c3537 - minikube-m04
7754.035147585736	3	3	3	3
7768.776659273161	3	3	3	2
7783.518170960587	3	2	2	2
7798.259682648012	2	2	2	1
7813.001194335438	4	3	3	3
7827.742706022864	3	3	3	2
7842.484217710288	4	3	3	3
7857.225729397714	3	3	2	2
7871.967241085139	3	2	2	2
7886.708752772564	3	3	3	2
7901.45026445999	3	3	3	2
7916.191776147415	4	3	3	3
7930.9332878348405	2	2	2	1
7945.674799522266	3	2	2	2
7960.416311209691	2	2	2	1
7975.1578228971175	2	2	2	2
7989.899334584541	2	2	1	1
8004.640846271966	2	2	2	1
8019.382357959393	4	4	3	3
8034.123869646818	3	3	3	2
8048.8653813342435	3	3	3	2
8063.606893021669	3	3	3	3
8078.348404709094	3	3	3	3
8093.08991639652	3	3	3	3
8107.831428083945	2	2	2	2
8122.572939771369	3	3	3	2
8137.314451458795	3	3	2	2
8152.05596314622	3	3	3	2
8166.7974748336455	3	3	3	2
8181.538986521072	2	2	1	1
8196.280498208496	2	2	2	1
8211.022009895922	3	2	2	2
8225.763521583347	2	2	2	1
8240.505033270774	3	2	2	2
8255.2465449582	3	3	3	2
8269.988056645623	2	2	1	1
8284.729568333049	3	3	2	2
8299.471080020474	2	2	2	2
8314.2125917079	2	2	2	2
8328.954103395325	3	3	2	2
8343.69561508275	2	2	2	2
8358.437126770175	3	3	3	3
8373.1786384576	3	3	2	2
8387.920150145026	2	1	1	1
8402.661661832452	2	1	1	1
8417.403173519877	3	3	3	2
8432.144685207302	3	3	2	2
8446.886196894728	2	2	2	2
8461.627708582153	2	2	1	1
8476.369220269578	2	2	2	1
8491.110731957004	2	2	2	1
8505.85224364443	2	2	2	2
8520.593755331854	3	3	3	2
8535.33526701928	3	2	2	2
8550.076778706705	3	3	3	3
8564.81829039413	3	3	3	3
8579.559802081556	3	3	3	2
8594.301313768981	4	3	3	3
8609.042825456407	3	3	3	3
8623.784337143832	2	2	2	1
8638.525848831257	4	4	3	3
8653.267360518683	3	3	2	2
8668.008872206108	2	2	2	1
8682.750383893534	4	3	3	3
8697.491895580959	3	3	3	3
8712.233407268384	3	3	3	2
8726.97491895581	3	3	3	3
8741.716430643235	2	2	1	1
8756.45794233066	2	1	1	1
8771.199454018086	3	3	3	3
8785.940965705511	3	3	2	2
8800.682477392937	2	2	2	1
8815.423989080362	3	3	3	2
8830.165500767787	2	2	2	2
8844.907012455213	2	1	1	1
8859.648524142638	3	3	3	2
8874.390035830063	2	2	2	2
8889.131547517489	2	2	2	1
8903.873059204914	2	1	1	1
8918.61457089234	2	2	2	1
8933.356082579765	2	2	1	1
8948.09759426719	3	3	3	3
8962.839105954616	3	3	3	2
8977.58061764204	4	4	4	3
8992.322129329466	2	2	2	1
9007.063641016892	3	3	3	3
9021.805152704317	3	3	3	2
9036.546664391743	3	3	3	2
9051.288176079168	2	2	2	2
9066.029687766593	3	2	2	2
9080.771199454019	3	2	2	2
9095.512711141444	3	2	2	2
9110.254222828868	2	2	2	2
9124.995734516293	2	2	2	1
9139.737246203718	2	2	1	1
9154.478757891146	3	2	2	2
9169.22026957857	3	3	3	2
9183.961781265996	2	2	2	2
9198.703292953422	2	2	1	1
