Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 6964999c042c898bacbaff30 - minikube-m04
6764.793213149523	2	2	2	1
6780.063626723224	2	2	2	1
6795.334040296925	3	2	2	2
6810.604453870626	3	3	3	2
6825.874867444327	3	3	3	3
6841.145281018028	2	2	2	2
6856.415694591728	3	3	3	2
6871.68610816543	3	3	2	2
6886.95652173913	3	2	2	2
6902.226935312831	3	3	2	2
6917.497348886533	2	2	2	2
6932.767762460233	2	2	2	1
6948.038176033934	3	2	2	2
6963.308589607635	2	2	1	1
6978.579003181336	2	2	2	2
6993.849416755037	4	3	3	3
7009.119830328738	2	2	1	1
7024.390243902439	2	2	1	1
7039.66065747614	3	3	3	2
7054.93107104984	3	3	2	2
7070.201484623542	4	4	3	3
7085.471898197244	4	4	3	3
7100.742311770943	3	3	3	3
7116.012725344645	2	1	1	1
7131.283138918347	3	2	2	2
7146.553552492046	2	2	2	2
7161.823966065748	2	2	1	1
7177.094379639448	3	2	2	2
7192.36479321315	3	2	2	2
7207.635206786851	3	3	3	2
7222.905620360551	2	2	2	2
7238.176033934253	2	2	2	1
7253.446447507954	4	4	3	3
7268.716861081654	2	2	2	2
7283.987274655356	2	2	1	1
7299.257688229056	3	2	2	2
7314.528101802757	3	3	3	3
7329.798515376458	3	2	2	2
7345.068928950159	4	4	3	3
7360.33934252386	3	3	3	3
7375.609756097561	3	3	3	2
7390.880169671262	3	3	3	3
7406.150583244963	2	1	1	1
7421.420996818663	2	1	1	1
7436.691410392365	4	4	3	3
7451.961823966066	2	2	2	1
7467.232237539766	4	4	3	3
7482.502651113467	4	3	3	3
7497.77306468717	3	3	2	2
7513.043478260869	3	2	2	2
7528.31389183457	3	3	3	2
7543.584305408271	2	2	2	1
7558.854718981972	3	2	2	2
7574.125132555674	3	3	3	2
7589.3955461293735	2	2	2	2
7604.665959703076	2	2	2	1
7619.936373276777	3	3	3	2
7635.206786850477	3	3	3	3
7650.477200424179	3	3	3	2
7665.747613997879	3	3	3	3
7681.01802757158	3	2	2	2
7696.2884411452815	2	2	2	1
7711.558854718982	3	2	2	2
7726.829268292683	2	2	2	2
7742.099681866384	2	2	2	2
7757.370095440085	2	2	2	1
7772.640509013786	3	2	2	2
7787.910922587486	2	2	2	2
7803.181336161188	2	2	2	1
7818.451749734889	2	2	2	2
7833.722163308589	2	1	1	1
7848.99257688229	2	2	1	1
7864.262990455992	4	3	3	3
7879.533404029692	3	3	3	2
7894.803817603393	3	3	3	2
7910.074231177094	2	2	2	2
7925.344644750795	3	3	3	2
7940.615058324496	3	3	3	3
7955.885471898197	3	3	3	3
7971.155885471898	3	3	2	2
7986.4262990456	4	4	4	4
8001.696712619299	4	4	3	3
8016.967126193002	3	3	2	2
8032.237539766701	3	3	2	2
8047.507953340403	3	3	3	3
8062.7783669141045	3	2	2	2
8078.048780487805	3	3	3	3
8093.319194061506	4	3	3	3
8108.589607635207	3	3	3	2
8123.860021208908	4	3	3	3
8139.130434782609	4	4	4	3
8154.400848356309	3	3	3	3
8169.671261930011	3	3	3	2
8184.941675503712	3	3	2	2
8200.212089077411	3	3	2	2
8215.482502651113	3	3	3	2
8230.752916224816	4	3	3	3
8246.023329798516	3	3	2	2
8261.293743372216	2	2	2	2
8276.564156945917	3	3	3	2
8291.834570519619	2	2	2	2
8307.10498409332	3	3	2	2
8322.37539766702	2	2	1	1
8337.645811240722	1	1	1	1
8352.916224814422	2	2	1	1
8368.186638388122	2	1	1	1
8383.457051961825	3	3	3	3
8398.727465535525	2	2	2	1
8413.997879109225	3	3	2	2
8429.268292682927	3	2	2	2
8444.538706256628	3	3	2	2
8459.809119830328	3	3	3	2
8475.07953340403	2	2	2	2
8490.34994697773	2	2	2	1
8505.620360551431	2	1	1	1
8520.890774125133	2	1	1	1
8536.161187698834	4	4	3	3
8551.431601272534	3	2	2	2
8566.702014846234	3	3	3	2
8581.972428419936	4	4	3	3
8597.242841993639	4	4	3	3
8612.513255567337	3	3	3	2
8627.78366914104	3	3	2	2
8643.054082714742	3	2	2	2
8658.32449628844	3	2	2	2
8673.594909862142	2	2	1	1
8688.865323435843	2	2	2	1
8704.135737009545	2	2	2	1
8719.406150583245	2	2	2	2
8734.676564156945	3	3	3	2
8749.946977730648	3	3	3	3
8765.217391304348	3	3	3	2
8780.487804878048	3	2	2	2
8795.75821845175	2	2	2	1
8811.02863202545	3	3	2	2
8826.299045599151	2	2	2	2
8841.569459172853	2	2	2	2
8856.839872746554	3	3	3	2
8872.110286320254	4	3	3	3
8887.380699893956	3	3	3	3
8902.651113467657	3	3	2	2
8917.921527041357	4	4	3	3
8933.191940615057	4	4	4	3
8948.46235418876	3	2	2	2
8963.73276776246	3	2	2	2
