Relative Time (Process)	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m02	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m03	Static Heuristic - Run None (Profile ?) 696115601f10a0f571a4b7f0 - minikube-m04
5279.830448604733	3	3	3	3
5290.003532320735	3	3	3	3
5300.176616036736	3	3	3	3
5310.349699752737	3	3	2	2
5320.522783468739	3	3	3	3
5330.695867184741	3	3	3	3
5340.868950900742	3	3	3	3
5351.042034616743	3	3	3	3
5361.215118332745	3	3	3	3
5371.388202048746	3	3	2	2
5381.5612857647475	3	3	3	3
5391.734369480749	3	3	3	3
5401.90745319675	3	3	3	3
5412.080536912752	3	3	3	3
5422.253620628753	3	3	3	3
5432.4267043447535	3	3	2	2
5442.599788060756	3	3	3	3
5452.772871776757	3	3	3	3
5462.945955492759	3	3	3	3
5473.11903920876	3	3	3	3
5483.292122924762	3	3	3	3
5493.4652066407625	3	3	2	2
5503.638290356764	3	3	3	3
5513.811374072766	3	3	3	3
5523.984457788767	3	3	3	3
5534.157541504769	3	3	3	3
5544.330625220769	3	3	3	3
5554.503708936771	3	3	2	2
5564.676792652773	3	3	3	3
5574.849876368774	3	3	3	3
5585.022960084776	3	3	3	3
5595.196043800777	3	3	3	3
5605.3691275167785	3	3	3	3
5615.54221123278	3	3	2	2
5625.715294948781	3	3	3	3
5635.888378664783	3	3	3	3
5646.061462380784	3	3	3	3
5656.234546096786	3	3	3	3
5666.407629812787	3	3	3	3
5676.580713528788	3	3	2	2
5686.75379724479	3	3	3	3
5696.926880960791	3	3	3	3
5707.099964676793	3	3	3	3
5717.2730483927935	3	3	3	3
5727.446132108796	3	3	3	3
5737.619215824797	3	3	2	2
5747.792299540798	3	3	3	3
5757.9653832568	3	3	3	3
5768.138466972801	3	3	3	3
5778.3115506888025	3	3	3	3
5788.484634404804	3	3	3	3
5798.657718120806	3	3	2	2
5808.830801836807	3	3	3	3
5819.003885552808	3	3	3	3
5829.176969268809	3	3	3	3
5839.350052984811	3	3	3	3
5849.523136700813	3	3	3	3
5859.696220416814	3	3	2	2
5869.869304132815	3	3	3	3
5880.042387848817	3	3	3	3
5890.215471564818	3	3	3	3
5900.38855528082	3	3	3	3
5910.561638996821	3	3	3	3
5920.734722712823	3	3	2	2
5930.907806428824	3	3	3	3
5941.0808901448245	3	3	3	3
5951.253973860827	3	3	3	3
5961.427057576828	3	3	3	3
5971.60014129283	3	3	3	3
5981.773225008831	3	3	2	2
5991.946308724832	3	3	3	3
6002.1193924408335	3	3	3	3
6012.292476156835	3	3	3	3
6022.465559872837	3	3	3	3
