Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695d40131ad7974abf0bee63 - minikube-m04
4085.537861553461	4	4	4	4
4099.577510562236	1	1	1	1
4113.617159571011	1	1	1	1
4127.656808579785	1	1	1	1
4141.69645758856	1	1	1	1
4155.7361065973355	1	1	1	1
4169.77575560611	4	4	4	4
4183.815404614885	1	1	1	1
4197.85505362366	1	1	1	1
4211.894702632434	1	1	1	1
4225.934351641209	1	1	1	1
4239.974000649984	1	1	1	1
4254.013649658758	4	4	4	4
4268.053298667533	1	1	1	1
4282.0929476763085	1	1	1	1
4296.132596685083	1	1	1	1
4310.172245693858	1	1	1	1
4324.211894702632	1	1	1	1
4338.251543711407	4	4	4	4
4352.291192720182	1	1	1	1
4366.330841728956	1	1	1	1
4380.370490737731	1	1	1	1
4394.4101397465065	1	1	1	1
4408.449788755281	1	1	1	1
4422.489437764056	4	4	4	4
4436.529086772831	1	1	1	1
4450.568735781605	1	1	1	1
4464.60838479038	1	1	1	1
4478.648033799155	1	1	1	1
4492.687682807929	1	1	1	1
4506.7273318167045	4	4	4	4
4520.76698082548	1	1	1	1
4534.806629834254	1	1	1	1
4548.846278843029	1	1	1	1
4562.885927851804	1	1	1	1
4576.925576860578	1	1	1	1
4590.965225869353	4	4	4	4
4605.004874878128	1	1	1	1
4619.044523886902	1	1	1	1
4633.0841728956775	1	1	1	1
4647.123821904453	1	1	1	1
4661.163470913228	1	1	1	1
4675.203119922002	4	4	4	4
4689.242768930777	1	1	1	1
4703.282417939552	1	1	1	1
4717.322066948326	1	1	1	1
4731.361715957101	1	1	1	1
4745.401364965876	1	1	1	1
4759.441013974651	4	4	4	4
4773.480662983426	1	1	1	1
4787.520311992201	1	1	1	1
4801.559961000975	1	1	1	1
4815.599610009749	1	1	1	1
4829.639259018525	1	1	1	1
4843.678908027299	4	4	4	4
4857.718557036073	1	1	1	1
4871.758206044849	1	1	1	1
4885.797855053624	1	1	1	1
4899.837504062399	1	1	1	1
4913.877153071173	1	1	1	1
4927.916802079948	4	4	4	4
4941.956451088723	1	1	1	1
4955.996100097497	1	1	1	1
4970.035749106272	1	1	1	1
4984.075398115047	1	1	1	1
4998.115047123822	1	1	1	1
5012.154696132597	4	4	4	4
5026.194345141372	1	1	1	1
