Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6691d7b750641eaea21b - minikube-m04
4961.556867123943	1	1	1	1
4975.3389695326205	1	1	1	1
4989.121071941298	1	1	1	1
5002.903174349976	4	4	4	4
5016.685276758654	1	1	1	1
5030.467379167331	1	1	1	1
5044.249481576009	1	1	1	1
5058.031583984686	1	1	1	1
5071.813686393364	1	1	1	1
5085.595788802041	4	4	4	4
5099.377891210719	1	1	1	1
5113.159993619397	1	1	1	1
5126.942096028075	1	1	1	1
5140.724198436753	1	1	1	1
5154.50630084543	1	1	1	1
5168.288403254108	4	4	4	4
5182.070505662785	1	1	1	1
5195.852608071463	1	1	1	1
5209.63471048014	1	1	1	1
5223.416812888818	1	1	1	1
5237.198915297496	1	1	1	1
5250.981017706174	4	4	4	4
5264.763120114851	1	1	1	1
5278.5452225235285	1	1	1	1
5292.3273249322065	1	1	1	1
5306.1094273408835	1	1	1	1
5319.891529749561	1	1	1	1
5333.673632158238	4	4	4	4
5347.455734566916	1	1	1	1
5361.237836975594	1	1	1	1
5375.019939384272	1	1	1	1
5388.802041792949	1	1	1	1
5402.584144201627	1	1	1	1
5416.366246610305	4	4	4	4
5430.148349018982	1	1	1	1
5443.93045142766	1	1	1	1
5457.712553836338	1	1	1	1
5471.494656245016	1	1	1	1
5485.276758653692	1	1	1	1
5499.05886106237	4	4	4	4
5512.840963471048	1	1	1	1
5526.623065879726	1	1	1	1
5540.405168288404	1	1	1	1
5554.187270697081	1	1	1	1
5567.969373105759	1	1	1	1
5581.751475514437	4	4	4	4
5595.5335779231145	1	1	1	1
5609.315680331791	1	1	1	1
5623.097782740469	1	1	1	1
5636.8798851491465	1	1	1	1
5650.661987557824	1	1	1	1
5664.444089966501	4	4	4	4
5678.226192375179	1	1	1	1
5692.008294783857	1	1	1	1
5705.790397192535	1	1	1	1
5719.572499601213	1	1	1	1
5733.354602009889	1	1	1	1
5747.136704418567	4	4	4	4
5760.918806827245	1	1	1	1
5774.700909235923	1	1	1	1
5788.4830116446	1	1	1	1
5802.265114053278	1	1	1	1
5816.047216461956	1	1	1	1
5829.829318870634	4	4	4	4
5843.61142127931	1	1	1	1
5857.393523687988	1	1	1	1
5871.175626096666	1	1	1	1
5884.957728505344	1	1	1	1
5898.739830914022	1	1	1	1
5912.521933322699	4	4	4	4
5926.304035731377	1	1	1	1
5940.086138140055	1	1	1	1
5953.8682405487325	1	1	1	1
5967.650342957409	1	1	1	1
5981.4324453660865	1	1	1	1
5995.2145477747645	4	4	4	4
6008.996650183442	1	1	1	1
6022.778752592119	1	1	1	1
6036.560855000797	1	1	1	1
6050.342957409475	1	1	1	1
6064.125059818153	1	1	1	1
6077.907162226831	4	4	4	4
6091.689264635508	1	1	1	1
6105.471367044185	1	1	1	1
6119.253469452863	1	1	1	1
6133.035571861541	1	1	1	1
6146.817674270218	1	1	1	1
6160.599776678896	4	4	4	4
6174.381879087574	1	1	1	1
6188.163981496252	1	1	1	1
6201.946083904929	1	1	1	1
6215.728186313607	1	1	1	1
6229.510288722285	1	1	1	1
6243.292391130963	4	4	4	4
6257.074493539639	1	1	1	1
6270.856595948317	1	1	1	1
6284.638698356995	1	1	1	1
6298.4208007656725	1	1	1	1
6312.2029031743505	1	1	1	1
6325.9850055830275	4	4	4	4
6339.767107991705	1	1	1	1
6353.549210400383	1	1	1	1
6367.331312809061	1	1	1	1
6381.113415217737	1	1	1	1
6394.895517626415	1	1	1	1
6408.677620035093	4	4	4	4
6422.459722443771	1	1	1	1
6436.241824852448	1	1	1	1
6450.023927261126	1	1	1	1
6463.806029669804	1	1	1	1
6477.588132078482	1	1	1	1
6491.37023448716	4	4	4	4
6505.152336895836	1	1	1	1
6518.934439304514	1	1	1	1
6532.716541713192	1	1	1	1
6546.49864412187	1	1	1	1
6560.280746530547	1	1	1	1
6574.062848939225	4	4	4	4
6587.844951347903	1	1	1	1
6601.627053756581	1	1	1	1
6615.409156165257	1	1	1	1
6629.191258573935	1	1	1	1
6642.973360982613	1	1	1	1
6656.7554633912905	4	4	4	4
6670.537565799968	1	1	1	1
6684.319668208645	1	1	1	1
6698.101770617323	1	1	1	1
6711.883873026001	1	1	1	1
6725.665975434679	1	1	1	1
6739.448077843355	4	4	4	4
6753.230180252033	1	1	1	1
6767.012282660711	1	1	1	1
6780.794385069389	1	1	1	1
6794.576487478066	1	1	1	1
6808.358589886744	1	1	1	1
6822.140692295422	4	4	4	4
6835.9227947041	1	1	1	1
6849.704897112777	1	1	1	1
6863.486999521455	1	1	1	1
6877.269101930133	1	1	1	1
6891.05120433881	1	1	1	1
6904.833306747488	4	4	4	4
6918.615409156165	1	1	1	1
6932.397511564843	1	1	1	1
6946.179613973521	1	1	1	1
6959.961716382199	1	1	1	1
6973.743818790876	1	1	1	1
6987.5259211995535	4	4	4	4
7001.308023608231	1	1	1	1
7015.090126016909	1	1	1	1
7028.8722284255855	1	1	1	1
7042.654330834263	1	1	1	1
7056.436433242941	1	1	1	1
7070.218535651619	4	4	4	4
7084.000638060297	1	1	1	1
7097.782740468974	1	1	1	1
7111.564842877652	1	1	1	1
7125.34694528633	1	1	1	1
7139.129047695008	1	1	1	1
7152.911150103684	4	4	4	4
7166.693252512362	1	1	1	1
7180.47535492104	1	1	1	1
7194.257457329718	1	1	1	1
7208.039559738395	1	1	1	1
7221.821662147073	1	1	1	1
7235.603764555751	4	4	4	4
7249.385866964429	1	1	1	1
7263.167969373107	1	1	1	1
7276.950071781783	1	1	1	1
7290.732174190461	1	1	1	1
7304.514276599139	1	1	1	1
7318.2963790078165	4	4	4	4
7332.078481416494	1	1	1	1
7345.8605838251715	1	1	1	1
7359.642686233849	1	1	1	1
7373.424788642527	1	1	1	1
7387.2068910512035	1	1	1	1
7400.988993459881	4	4	4	4
7414.771095868559	1	1	1	1
7428.553198277237	1	1	1	1
7442.335300685914	1	1	1	1
7456.117403094592	1	1	1	1
7469.89950550327	1	1	1	1
7483.681607911948	4	4	4	4
7497.463710320626	1	1	1	1
7511.245812729302	1	1	1	1
7525.02791513798	1	1	1	1
7538.810017546658	1	1	1	1
7552.592119955336	1	1	1	1
7566.374222364013	4	4	4	4
7580.156324772691	1	1	1	1
7593.938427181369	1	1	1	1
7607.720529590047	1	1	1	1
7621.502631998724	1	1	1	1
7635.284734407402	1	1	1	1
7649.06683681608	4	4	4	4
7662.848939224757	1	1	1	1
7676.6310416334345	1	1	1	1
7690.4131440421115	1	1	1	1
7704.195246450789	1	1	1	1
7717.977348859467	1	1	1	1
7731.759451268145	4	4	4	4
7745.541553676822	1	1	1	1
7759.3236560855	1	1	1	1
7773.105758494178	1	1	1	1
7786.887860902856	1	1	1	1
7800.669963311532	1	1	1	1
7814.45206572021	4	4	4	4
7828.234168128888	1	1	1	1
7842.016270537566	1	1	1	1
7855.798372946244	1	1	1	1
7869.580475354921	1	1	1	1
7883.362577763599	1	1	1	1
7897.144680172277	4	4	4	4
7910.926782580955	1	1	1	1
7924.708884989631	1	1	1	1
7938.490987398309	1	1	1	1
7952.273089806987	1	1	1	1
7966.055192215665	1	1	1	1
7979.837294624342	4	4	4	4
7993.61939703302	1	1	1	1
8007.4014994416975	1	1	1	1
8021.183601850375	1	1	1	1
8034.965704259053	1	1	1	1
8048.7478066677295	1	1	1	1
8062.529909076407	4	4	4	4
8076.312011485085	1	1	1	1
8090.094113893763	1	1	1	1
8103.87621630244	1	1	1	1
8117.658318711118	1	1	1	1
8131.440421119796	1	1	1	1
8145.222523528474	4	4	4	4
8159.00462593715	1	1	1	1
8172.786728345828	1	1	1	1
8186.568830754506	1	1	1	1
8200.350933163185	1	1	1	1
8214.13303557186	1	1	1	1
8227.915137980539	4	4	4	4
8241.697240389216	1	1	1	1
8255.479342797895	1	1	1	1
8269.261445206572	1	1	1	1
8283.043547615249	1	1	1	1
8296.825650023928	1	1	1	1
8310.607752432605	4	4	4	4
8324.389854841284	1	1	1	1
8338.17195724996	1	1	1	1
8351.954059658638	1	1	1	1
8365.736162067315	1	1	1	1
8379.518264475993	1	1	1	1
8393.30036688467	4	4	4	4
8407.082469293347	1	1	1	1
8420.864571702026	1	1	1	1
8434.646674110703	1	1	1	1
8448.428776519382	1	1	1	1
8462.21087892806	1	1	1	1
8475.992981336736	4	4	4	4
8489.775083745415	1	1	1	1
8503.557186154092	1	1	1	1
8517.339288562769	1	1	1	1
8531.121390971446	1	1	1	1
8544.903493380125	1	1	1	1
8558.685595788802	4	4	4	4
8572.467698197479	1	1	1	1
8586.249800606158	1	1	1	1
8600.031903014835	1	1	1	1
8613.814005423514	1	1	1	1
8627.59610783219	1	1	1	1
8641.378210240868	4	4	4	4
8655.160312649545	1	1	1	1
8668.942415058224	1	1	1	1
8682.7245174669	1	1	1	1
8696.506619875578	1	1	1	1
8710.288722284256	1	1	1	1
8724.070824692933	4	4	4	4
8737.852927101612	1	1	1	1
8751.635029510287	1	1	1	1
8765.417131918966	1	1	1	1
8779.199234327643	1	1	1	1
8792.981336736322	1	1	1	1
8806.763439145	4	4	4	4
8820.545541553676	1	1	1	1
8834.327643962355	1	1	1	1
8848.109746371032	1	1	1	1
8861.891848779711	1	1	1	1
8875.673951188386	1	1	1	1
8889.456053597065	4	4	4	4
8903.238156005742	1	1	1	1
8917.02025841442	1	1	1	1
8930.802360823098	1	1	1	1
8944.584463231775	1	1	1	1
8958.366565640454	1	1	1	1
8972.14866804913	4	4	4	4
8985.930770457808	1	1	1	1
8999.712872866485	1	1	1	1
9013.494975275164	1	1	1	1
9027.27707768384	1	1	1	1
9041.05918009252	1	1	1	1
9054.841282501196	4	4	4	4
9068.623384909873	1	1	1	1
9082.405487318552	1	1	1	1
9096.18758972723	1	1	1	1
9109.969692135906	1	1	1	1
