Relative Time (Process)	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m02	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m03	Optimized Balance Heuristic - Run None (Profile ?) 695e6241bdbf9c98406a584d - minikube-m04
9344.997614124384	1	1	1	1
9358.740257674566	4	4	4	4
9372.482901224748	1	1	1	1
9386.225544774932	1	1	1	1
9399.968188325116	1	1	1	1
9413.710831875298	1	1	1	1
9427.453475425482	1	1	1	1
9441.196118975664	4	4	4	4
9454.938762525848	1	1	1	1
9468.68140607603	1	1	1	1
9482.424049626214	1	1	1	1
9496.166693176396	1	1	1	1
9509.909336726578	1	1	1	1
9523.651980276762	4	4	4	4
9537.394623826944	1	1	1	1
9551.137267377128	1	1	1	1
9564.87991092731	1	1	1	1
9578.622554477493	1	1	1	1
9592.365198027675	1	1	1	1
9606.10784157786	4	4	4	4
9619.850485128043	1	1	1	1
9633.593128678225	1	1	1	1
9647.335772228409	1	1	1	1
9661.078415778591	1	1	1	1
9674.821059328773	1	1	1	1
9688.563702878957	4	4	4	4
9702.306346429139	1	1	1	1
9716.048989979323	1	1	1	1
9729.791633529505	1	1	1	1
9743.534277079689	1	1	1	1
9757.27692062987	1	1	1	1
9771.019564180055	4	4	4	4
9784.762207730237	1	1	1	1
9798.504851280419	1	1	1	1
9812.247494830603	1	1	1	1
9825.990138380785	1	1	1	1
9839.732781930968	1	1	1	1
9853.475425481152	4	4	4	4
9867.218069031334	1	1	1	1
9880.960712581518	1	1	1	1
9894.7033561317	1	1	1	1
9908.445999681884	1	1	1	1
9922.188643232066	1	1	1	1
9935.93128678225	4	4	4	4
9949.673930332432	1	1	1	1
9963.416573882614	1	1	1	1
9977.159217432798	1	1	1	1
9990.90186098298	1	1	1	1
10004.644504533164	1	1	1	1
10018.387148083346	4	4	4	4
10032.12979163353	1	1	1	1
10045.872435183712	1	1	1	1
10059.615078733896	1	1	1	1
10073.35772228408	1	1	1	1
10087.100365834262	1	1	1	1
10100.843009384444	4	4	4	4
10114.585652934627	1	1	1	1
10128.32829648481	1	1	1	1
10142.070940034993	1	1	1	1
10155.813583585175	1	1	1	1
10169.55622713536	1	1	1	1
10183.298870685541	4	4	4	4
10197.041514235725	1	1	1	1
10210.784157785907	1	1	1	1
10224.52680133609	1	1	1	1
10238.269444886273	1	1	1	1
10252.012088436455	1	1	1	1
10265.754731986639	4	4	4	4
10279.497375536823	1	1	1	1
10293.240019087005	1	1	1	1
10306.982662637189	1	1	1	1
10320.72530618737	1	1	1	1
10334.467949737555	1	1	1	1
10348.210593287737	4	4	4	4
10361.95323683792	1	1	1	1
10375.695880388103	1	1	1	1
10389.438523938285	1	1	1	1
10403.181167488468	1	1	1	1
10416.92381103865	1	1	1	1
10430.666454588834	4	4	4	4
10444.409098139016	1	1	1	1
10458.1517416892	1	1	1	1
10471.894385239382	1	1	1	1
10485.637028789566	1	1	1	1
10499.37967233975	1	1	1	1
10513.122315889932	4	4	4	4
10526.864959440116	1	1	1	1
10540.607602990298	1	1	1	1
10554.35024654048	1	1	1	1
10568.092890090664	1	1	1	1
10581.835533640846	1	1	1	1
10595.57817719103	4	4	4	4
10609.320820741212	1	1	1	1
10623.063464291396	1	1	1	1
10636.806107841578	1	1	1	1
10650.54875139176	1	1	1	1
10664.291394941944	1	1	1	1
10678.034038492126	4	4	4	4
10691.77668204231	1	1	1	1
10705.519325592491	1	1	1	1
10719.261969142675	1	1	1	1
10733.00461269286	1	1	1	1
