Relative Time (Process)	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m02	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m03	Unknown Heuristic - Run None (Profile ?) 695c7302c05fc25fbbedff03 - minikube-m04
4059.5240955707004	4	4	4	4
4069.7041309180495	4	4	4	4
4079.8841662653986	4	4	4	4
4090.064201612747	4	4	4	4
4090.284202376644	4	3	3	3
4100.484237793438	4	4	4	4
4110.6642731407865	4	4	4	4
4120.8443084881355	4	4	4	4
4131.024343835485	4	4	4	4
4141.204379182834	4	4	4	4
4141.414379912007	4	3	3	3
4151.6144153288005	4	4	4	4
4161.79445067615	4	4	4	4
4171.974486023499	4	4	4	4
4182.154521370848	4	4	4	4
4192.334556718197	4	4	4	4
4192.544557447371	4	3	3	3
4202.744592864165	4	4	4	4
4212.924628211514	4	4	4	4
4223.104663558862	4	4	4	4
4233.284698906211	4	4	4	4
4243.46473425356	4	4	4	4
4243.674734982734	4	3	3	3
4253.864770364805	4	4	4	4
4264.044805712154	4	4	4	4
4274.224841059503	4	4	4	4
4284.404876406851	4	4	4	4
4294.5849117542	4	4	4	4
4294.794912483375	4	3	3	3
4304.984947865446	4	4	4	4
4315.164983212794	4	4	4	4
4325.345018560143	4	4	4	4
4335.525053907492	4	4	4	4
4345.705089254841	4	4	4	4
4345.915089984015	4	3	3	3
4356.115125400809	4	4	4	4
4366.295160748158	4	4	4	4
4376.475196095507	4	4	4	4
4386.655231442856	4	4	4	4
4396.8352667902045	4	4	4	4
4397.045267519378	4	3	3	3
4407.255302970895	4	4	4	4
4417.435338318244	4	4	4	4
4427.615373665593	4	4	4	4
4437.7954090129415	4	4	4	4
4447.975444360291	4	4	4	4
4448.185445089464	4	3	3	3
4458.375480471535	4	4	4	4
4468.5555158188845	4	4	4	4
4478.735551166234	4	4	4	4
4488.915586513583	4	4	4	4
4499.095621860931	4	4	4	4
4499.3056225901055	4	3	3	3
4509.5056580068995	4	4	4	4
4519.6856933542485	4	4	4	4
4529.865728701598	4	4	4	4
4540.045764048946	4	4	4	4
4550.225799396295	4	4	4	4
4550.435800125469	4	3	3	3
4560.635835542263	4	4	4	4
4570.815870889612	4	4	4	4
4580.99590623696	4	4	4	4
4591.175941584309	4	4	4	4
4601.355976931658	4	4	4	4
4601.575977695555	4	3	3	3
4611.766013077626	4	4	4	4
4621.946048424975	4	4	4	4
4632.126083772324	4	4	4	4
4642.306119119673	4	4	4	4
4652.486154467021	4	4	4	4
4652.696155196195	4	3	3	3
4662.896190612989	4	4	4	4
4673.076225960338	4	4	4	4
4683.256261307687	4	4	4	4
4693.436296655036	4	4	4	4
4703.616332002385	4	4	4	4
4703.826332731558	4	3	3	3
4714.026368148352	4	4	4	4
4724.206403495701	4	4	4	4
4734.38643884305	4	4	4	4
4744.566474190399	4	4	4	4
4754.746509537747	4	4	4	4
4754.956510266922	4	3	3	3
4765.156545683716	4	4	4	4
4775.336581031065	4	4	4	4
4785.516616378414	4	4	4	4
4795.696651725762	4	4	4	4
4805.8766870731115	4	4	4	4
